"CNES";UF;IBGE;"NOME";"LOGRADOURO";"BAIRRO";LATITUDE;LONGITUDE
"0177350";21;210825;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AVENIDA PEDRO CUNHA MENDES";"CENTRO";-2,97347;-45,35158
"0475297";51;510515;"UNIDADE DE SAUDE DA FAMILIA MODULO 06 EQ II DE JUINA";"RUA NOVA GRANADA";"MODULO 06";-11,41678;-58,78335
"0177504";31;315720;"REFERENCIA MUNICIPAL DE SINDROME GRIPAL";"RUA NOSSA SENHORA DAS MERCES";"CENTRO";-19,95621;-43,41469
"0177547";42;421000;"CENTRO DE ATENDIMENTO AO COVID 19";"RODOVIA LEONARDO SC 414";"VILA DO SALTO";-26,71004;-48,91289
"0177679";22;220430;"CENTRO DE SINTOMATICOS RESPIRATORIOS DE FRONTEIRAS PI";"AVENIDA JOSE AQUILES DE SOUSA";"ALTO";-7,07658;-40,61635
"0177741";41;412710;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 TELEMA";"AVENIDA MARECHOL FLORIANO PEIXOTO";"ALTO DAS OLIVEIRAS";-24,324;-50,616
"7041683";21;210375;"UBS JOTTA";"RUA SANTO ANTONIO";"CENTRO";-5,5321;-47,40511
"0178217";41;412405;"CENTROS DE ATENDIMENTO PARA ENFRENTAMENTO A COVID";"AVENIDA DOS ESTADOS";"CENTRO";-25,44038;-54,40553
"0178225";42;420580;"CENTRO DE REFERENCIA MUNICIPAL DE GARUVA COVID 19";"RUA PADRE JOSE NOVACK";"JARDIM ITARAMATY";-26,027;-48,855
"0178330";42;420545;"CENTRO DE ATENDIMENTO COVID 19";"RUA PROFESSOR ARLNDO JUNKES";"CENTRO";-28,74836;-49,47201
"0178527";29;292610;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA JOANA ANGELICA";"CENTRO";-11,49445;-39,42804
"0029122";26;261160;"US 286 USF IRMA TEREZINHA";"RUA DA CONSOLACAO";"PEIXINHOS";-8,00985;-34,88262
"0179124";33;330500;"CENTRO DE TRIAGEM E COMBATE AO CORONAVIRUS";"RUA JOAO FRANCISCO DE ALMEIDA";"CENTRO";-21,64037;-41,04908
"0179647";21;210015;"CENTRO DE SINDROME GRIPAIS AGUA DOCE";"RUA DAS NACOES";"CENTRO";-2,841;-42,112
"0179698";29;291400;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID19";"MARGEM DA BA 052 KM86";"ZONA URBANA";-12,15725;-39,7498
"0179809";21;210375;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID19";"AVENIDA DAVI ALVES SILVA";"SANTA LUCIA";-5,52294;-47,39688
"0179868";43;431140;"CENTRO DE SAUDE SAO CRISTOVAO ESPECIALIDADES";"RUA FABIO BRITO DE AZAMBUJA";"SAO CRISTOVAO";-29,47579;-51,99174
"0180254";35;351020;"UNIDADE SENTINELA COVID19";"13 DE MAIO";"CENTRO";-24,006;-48,349
"2042525";35;351530;"UNIDADE BASICA DE SAUDE II ESTRELA DO NORTE";"RUA JOAO MARINHO";"CENTRO";-22,48446;-51,66107
"0180327";51;510724;"CENTRO DE ATENDIMENTO ENFRENTAMENTO COVID 19 SANTA CARMEM";"RUA RAPOSO TAVARES";"CENTRO";-11,98106;-55,27915
"2408554";24;240810;"USF PAJUCARA";"RUA BARAO DOS COCAIS PAJUCARA";"PAJUCARA";-5,795;-35,209
"2520052";29;292900;"USF DONA VIVI";"AV JONIVAL LUCAS";"135";-12,605;-38,972
"2520060";29;292900;"USF FERNANDO DE ALMEIDA ALVES";"RUA SALVA VIDAS";"CENTRO";-12,605;-38,972
"2520079";29;292900;"USF JOSE AUGUSTO ALMEIDA ALVES";"AV EDVALDO FRANCISCO DE SANTANA";"SALVA VIDAS";-12,605;-38,972
"2520591";29;292900;"USF DR JOSE RANULFO DOS REIS";"OUTEIRO REDONDO";"ZONA RURAL";-12,68492;-38,9962
"2771675";29;292900;"USF CURVA DO S";"MARGEM DA BR 420 SAO FELIX X MARAGOGIPE";"ZONA RURAL";-12,605;-38,972
"2038773";35;352040;"UBS BARRA VELHA ILHABELA";"RUA BENEDITO DOS ANJOS SAMPAIO";"BARRA VELHA";-23,82217;-45,36733
"2004437";27;270900;"UNIDADE BASICA DE SAUDE MARIZA TAVARES";"CONJUNTO AGUA VIVA";"CENTRO";-9,53487;-36,43561
"2651998";42;420270;"USF WILLY FRANCISCO MAESTRI";"RUA JOAO MORELLI";"CENTRO";-27,19754;-49,07264
"2070294";35;350810;"UBS II DA FAMILIA NICOLA LAVECHIA BURITAMA";"RUA MARECHAL DEODORO";"LIVRAMENTO";-21,066;-50,147
"2070308";35;350810;"UBS III DA FAMILIA JAIME PINTO CUNHA BURITAMA";"RUA JOAQUIM PEREIRA ROSA";"CENTRO";-21,06434;-50,14678
"2139464";31;316940;"UNIDADE BASICA DE SAUDE PREFEITO AZARIAS DE AZEVEDO CENTRAL";"RUA PURCINA SCATOLINO";"PERET";-21,36217;-45,51303
"2771683";29;292900;"USF BELMIRO DA SILVA";"BOA VISTA";"ZONA RURAL";-12,605;-38,972
"0180580";29;290150;"MAIQUE SANTOS DA SILVA CENTRO DE REFERENCIA AO COVID 19";"POVOADO DE AREIA";"ZONA RURAL";-12,152;-39,246
"0180599";29;290890;"CENTRO DE REFERENCIA AO COVID 19";"PRACA";"CENTRO";-12,233;-38,75
"0180769";41;410832;"CENTRO DE ATENDIMENTO PARA O ENFRENTAMENTO A COVID 19";"RUA JORGE FERREIRA";"CENTRO";-24,07118;-53,84525
"2382318";52;520470;"CENTRO DE SAUDE DE CAMPINORTE";"AV BERNARDO SAYAO";"VILA BENEDITO DA ROC";-14,30843;-49,15072
"2388723";29;290750;"UNIDADE DE SAUDE DA FAMILIA DE PLANALTO";"PROFESSORA DILMA CARNEIRO";"PLANALTO I";-12,38029;-38,38325
"2468247";17;170820;"UNIDADE SAUDE DA FAMILIA SETOR ALIANCA";"RUA GASPAR DUTRA";"SETOR ALIANCA";-11,81623;-49,52073
"2050722";35;352140;"UBS NOE FRANCO DE CAMPOS";"RUA PROFESSORA BEATRIZ DE MORAES PESSATTI";"RESIDENCIAL AQUARIUS";-22,58827;-47,50734
"0181005";43;432080;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA BENJAMIN CONSTANT";"CENTRO";-28,83296;-52,51369
"0181250";35;351040;"CENTRO DE REFERENCIA PARA ATENDIMENTO AO COVID 19";"PRACA DR MARIO DIAS DE AGUIAR";"VILA DO CARMO";-22,99401;-47,4892
"0181331";21;210150;"CENTRO DE REFERENCIA GRIPAL DE BARAO DE GRAJAU";"TRAV VALENTIM RAMOS";"DO CAMPO";-6,75624;-43,01883
"3057542";43;430190;"ESF RURAL";"PASSO DA ESTANCIA";"INTERIOR";-30,35421;-51,42803
"2785412";35;352140;"USF MARIA NEVES ALEXANDRINO";"AV PEDRO MARCOS BERTANHA";"JD LAZARO H OLIVEIR";-22,59304;-47,51069
"2763567";31;313010;"UNIDADE BASICA DE SAUDE DA FAMILIA MANOEL ANTUNES CAMPOS";"RUA ANTONIO BENTO ANTUNES";"NOVO HORIZONTE";-20,0632;-44,29561
"3069648";42;421660;"CENTRO DE SAUDE SEDE";"RUA COLETOR IRINEU COMELI";"CENTRO";-27,61666;-48,62709
"0181404";41;410304;"CENTRO DE ATENDIMENTO PARA O ENFRENTAMENTO";"AV DALZOTTO";"CENTRO";-24,88134;-51,54445
"5481120";21;210810;"UNIDADE BASICA DE SAUDE BURITI";"RUA AMAZONAS";"BURITI";-4,445;-45,239
"4048431";35;352140;"USF DR ANGELO ARLINDO LOBO";"RUA JOAO DE SOUZA BARRETO";"CENTRO";-22,58453;-47,51915
"5699177";31;311050;"ESF MONTE VERDE UBS EMILIA LEIASMEIER GRIMBERG";"RUA BAIXADA";"MONTE VERDE";-22,85489;-46,02973
"0181889";43;430632;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AVENIDA PELOTAS";"CENTRO";-27,26707;-53,86145
"0182265";42;420700;"CENTRO DE TRIAGEM MUNICIPAL DO COVID 19 DE ICARA";"RUA ANGELO SARTOR";"JARDIM ELIZABETE";-28,713;-49,3
"0182834";35;355080;"CENTRO DE REFERENCIA COVID SSGRAMA";"RUA NOVE DE JULHO";"CENTRO";-21,70973;-46,82465
"0182877";35;353790;"CEPASS COVID 19";"AV ANTONIO LACERDA";"NOVA PILAR";-23,80606;-47,73047
"6003583";35;352140;"USF ANGELINA PLATINETTI MASSARI";"RUA PADRE ELIAS FADUL";"JARDIM HERMINIO DEMA";-22,59042;-47,52121
"0182990";41;411300;"CENTRO DE ENFRETAMENTO DO COVID";"RUA BANDEIRANTES";"CENTRO";-23,621;-52,469
"0183016";41;410304;"EQUIPE ESB MODALIDADE II CENTRO";"RUA ATAIDE";"CENTRO";-24,88083;-51,63407
"0183156";41;412070;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO COVID 19";"RUA CAPITAO OSMAN";"CENTRO";-23,56782;-49,91318
"0183326";42;420290;"CENTRO DE ATENDIMENTO A COVID 19";"GENTIL BATISTI ARCHER";"CENTRO II";-27,098;-48,918
"6959547";31;313010;"UNIDADE BASICA DE SAUDE DA FAMILIA VANTUIL DO NASCIMENTO";"RUA PARAIBA";"RESPLENDOR";-20,07154;-44,28221
"0183350";32;320390;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 TIPO I";"RUA NOVE";"ASCENSAO";-18,69527;-40,40044
"0184616";23;230370;"CLINICA BRUNO ARAUJO ROCHA";"TACIANO ROCHA PONTES";"PACHECO";-3,733;-38,656
"0184756";26;261160;"UPC DE APS PROFESSOR HELIO MENDONCA";"AVENIDA DA RECUPERACAO";"CORREGO DO JENIPAPO";-8,01983;-34,94255
"8010838";35;354140;"ESF JARDIM HUMBERTO SALVADOR ENG JOLIO MARTIN";"RUA GILBERTO JANOTA MELE";"JARDIM HUMBERTO SALV";-22,08517;-51,39963
"0184764";26;261160;"UPC DE APS FERNANDA WANDERLEY";"RUA URIEL DE HOLANDA";"LINHA DO TIRO";-8,00214;-34,89696
"5183502";52;521250;"UNIDADE PRISIONAL REGIONAL FEMININA DE LUZIANIA";"RUA 20 QUADRA 18 LOTES 05 A 10";"SETOR NORTE";-16,23445;-47,94352
"7645279";35;351880;"UBS SANTA PAULA";"RUA MARIA ROZA DE CAMPOS";"JD SANTA PAULA";-23,40942;-46,42204
"0184934";33;330455;"SMS TELESSAUDE RIO";"PRACA DA REPUBLICA";"CENTRO";-22,90961;-43,17688
"0179981";42;421570;"CENTRO DE TRIAGEM COVID 19";"RUA BEIRA RIO";"CENTRO";-27,68647;-48,77556
"0151017";51;510840;"ESF SANTA ISABEL NEUZALINA FIGUEIREDO DE FREITAS";"RUA ABDALA JOSE DE ALMEIDA";"SANTA ISABEL";-15,65081;-56,17302
"5277930";52;520870;"USF RESIDENCIAL YTAPUA";"AVENIDA NOEL ROSA";"RESIDENCIAL YTAPUA";-16,68427;-49,38204
"0485861";26;260880;"CLINICA MULTIRAO";"RUA FREI DAMIAO";"CENTRO";-8,66401;-36,31145
"7171765";29;291280;"CENTRO MUNICIPAL DE FISIOTERAPIA";"RUA SANTO ANTONIO";"CENTRO";-17,68626;-40,11058
"0186236";41;411430;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"PRACA BOM JESUS";"CENTRO";-25,77861;-49,32675
"7124163";42;420270;"USF PREFEITO JOSE BONUS LEITE CAROSO";"ESTRADA GERAL AGUAS NEGRAS";"AGUAS NEGRAS";-27,20481;-49,02926
"0186449";43;430440;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA SETE DE SETEMBRO";"CENTRO";-29,366;-50,816
"0186481";43;431990;"CENTRO DE REFERENCIA EM SINDROMES GRIPAIS";"AV 20 DE SETEMBRO";"CENTRO";-29,638;-51,007
"9680047";31;314800;"IMAC";"BRASIL";"CENTRO";-18,59496;-46,51671
"0053910";31;314140;"CENTRO DE IMUNIZACAO DE MEDINA";"AVENIDA BELO HORIZONTE";"CENTRO";-16,22372;-41,47848
"0186686";15;150200;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AVENIDA JOSE RODRIGUES VIANA";"CENTRO";-1,011;-48,963
"0191159";28;280480;"US SUZINETE GOMES DA SILVA DIAS";"AVENIDA NOVO HORIZONTE";"NOVO HORIZONTE";-10,83739;-37,07229
"0296686";31;317120;"UBS JOSE COSME DA CRUZ";"AV CORONEL VIRGILIO MACHADO";"JARDIM ENCANTADO";-19,72675;-43,9652
"0187976";26;260915;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID";"RUA NOVA";"CENTRO";-8,96074;-37,62588
"0204188";27;270850;"L S LABOATORIO POPULAR";"RUA CAPITAO SAMUEL LINS";"CENTRO";-9,3188;-35,56101
"0723592";35;353350;"CENTRO DE REABILITACAO POS COVID";"RUA CARVALHO LEME";"CENTRO";-21,46747;-49,22029
"0189030";33;330115;"CENTRO DE ATENDIMENTO AO COVID19";"MANOEL AGUIAR";"PRACA TIRADENTES";-21,48678;-41,61778
"0189146";51;510730;"CAEC CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AVENIDA URUGUAI";"CENTRO";-13,44448;-56,7192
"2148986";31;312900;"UNIDADE PSF TUIUTINGA";"RUA GETULIO VARGAS";"DISTRITO DE TUIUTING";-21,008;-42,718
"2193094";31;313130;"UNIDADE DE SAUDE DO CANAA";"RUA MANA";"CANAA";-19,468;-42,537
"2052717";35;354340;"USF DR ALVARO PANAZZOLO VILA ALBERTINA";"RUA APENINOS";"VILA ALBERTINA";-21,14257;-47,80727
"0189197";23;230425;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA EZEQUIEL VASCONCELOS";"CENTRO";-2,91455;-40,17673
"2241404";43;431210;"UNIDADE BASICA DE SAUDE DR RONI CARLOS CASTELAN";"RUA DO COMERCIO";"CENTRO";-29,56317;-54,45511
"2309297";21;211130;"CENTRO DE SAUDE SAO RAIMUNDO";"AV SENADOR JOSE SARNEY";"VILA MAURO FECURY II";-2,53;-44,303
"2372576";23;230600;"POSTO DE SAUDE ALFREDO HOLANDA CAMPELO";"RUA FRANCISCO PEREIRA SAMPAIO";"VILA EMA";-5,81165;-38,2972
"2378523";42;420840;"CENTRO MUNICIPAL DE SAUDE";"RUA DA MATRIZ";"CENTRO";-27,17149;-53,71203
"2422964";28;280730;"CENTRO DE SAUDE DA FAMILIA DE TELHA";"RUA ANTONIO MOTA";"CENTRO";-10,20885;-36,88323
"2112590";31;314610;"OURO PRETO UNIDADE BASICA DE SAUDE AMARANTINA";"RUA SANTO ONOFRE";"AMARANTINA";-20,309;-43,71039
"2700719";43;431750;"CENTRO DE SAUDE DR ERNESTO NASCIMENTO";"RUA 22 DE MARCO";"CENTRO NORTE";-28,299;-54,263
"2310244";21;210320;"USF DE UNCURANA";"POVOADO UNCURANA";"POVOADO UNCURANA";-3,95037;-43,48033
"2310252";21;210320;"USF JOSE DA COSTA ALMEIDA";"RUA DO MATO";"FONTE DO MATO";-3,74549;-43,36539
"3043584";35;354780;"UBS JDIM SOROCABA JOSE BARBOSA DA SILVA SEU ZEZINHO";"AVENIDA SOROCABA";"PARQUE JOAO RAMALHO";-23,64916;-46,49757
"2310279";21;210320;"USF ANA MARQUES";"RUA DAS ARARAS";"RECANTO DOS PASSAROS";-3,73366;-43,34852
"2310287";21;210320;"USF DE ESTRELA";"POVOADO ESTRELA";"POVOADO ESTRELA";-3,84512;-43,41853
"2266768";33;330270;"UNIDADE DE SAUDE DA FAMILIA BARRA";"RUA ENANI MANUEL SOARES";"BARRA";-22,95537;-42,81221
"2251027";43;430245;"UNIDADE SANITARIA DE BOQUEIRAO DO LEAO";"RUA SERIO";"CENTRO";-29,30021;-52,42395
"2857502";21;210320;"USF POVOADO RODEIO";"POVOADO RODEIO";"POVOADO RODEIO";-3,742;-43,36
"2000202";12;120020;"UNIDADE DE SAUDE DA FAM SENADOR ADALBERTO SENA";"AVENIDA 25 DE AGOSTO";"AEROPORTO VELHO";-7,59956;-72,68347
"2266881";33;330270;"UNIDADE DE SAUDE DA FAMILIA CENTRAL";"RUA CLIMACO PEREIRA";"CENTRO";-22,92344;-42,81652
"2035553";35;351380;"UBS PIRAPORINHA SAUDE DA FAMILIA";"PRACA RUI BARBOSA";"PIRAPORINHA";-23,69104;-46,58304
"2117770";31;315360;"UNIDADE CENTRAL DE SAUDE DE PRUDENTE DE MORAIS";"RUA ANTONIO BARBOSA NETO";"MARACANA";-19,482;-44,155
"2219816";31;316870;"UNIDADE DE SAUDE LIMOEIRO";"RUA CANDEIAS";"LIMOEIRO";-19,54593;-42,58828
"2305917";42;420890;"UNIDADE BASICA DE SAUDE DR ALVARO BATALHA";"RUA DONA MATILDE";"VILA LALAU";-26,48286;-49,05895
"2306042";42;420890;"UNIDADE BASICA DE SAUDE ERICH KAUFFMANN";"RUA ONELIA HORST";"VILA LENZI";-26,48361;-49,09789
"2316447";15;150150;"UNIDADE DE SAUDE DA FAMILIA SANTA MARIA";"ESTRADA DE BENFICA";"SANTA MARIA";-1,36424;-48,31547
"2316455";15;150150;"USF CANUTAMA MARIA IRANILDE DA SILVA";"RUA CONSELHEIRO FURTADO";"CANUTAMA";-1,35904;-48,27526
"2316439";15;150150;"UNIDADE DE SAUDE DA FAMILIA MAGUARI SEBASTIAO OLIVEIRA";"AV JOAQUIM PEREIRA DE QUEIROZ";"MAGUARY";-1,33822;-48,233
"2472503";51;510170;"ESF SERGIO PEREIRA DE ARRUDA";"RUA BELO HORIZONTE";"CENTRO";-15,0658;-57,17674
"2472589";51;510170;"ESF ASSARI";"RUA 7 DE SETEMBRO";"DISTRITO DE ASSARI";-14,87445;-57,1756
"2675919";15;150150;"UNIDADE DE SAUDE DA FAMILIA MURINIM I E II";"ESTRADA DO MURINIM";"CENTRO";-1,28667;-48,3213
"2675927";15;150150;"USF BAIRROS DAS FLORES RAIMUNDO CONCEICAO DE JESUS";"RUA MIRANDA MATEUS";"FLORES";-1,3761;-48,24653
"0190926";51;510305;"CENTRO DE ENFRENTAMENTO A COVID 19 DE CLAUDIA";"AVENIDA GASPAR DUTRA";"CENTRO";-11,50742;-54,88282
"2462648";21;210480;"UBS BENJAMIM ALVES PESSOA";"POV BREJO DO SITIO DO MEIO";"ZONA RURAL";-6,02585;-46,05743
"2500132";52;520310;"ESF MARLENE NERY RIBEIRO";"RUA DA PRATA";"SETOR AGUAS DO ARAGU";-16,196;-52,545
"2764059";31;311460;"UNIDADE BASICA DE SAUDE DR MANOEL MOREIRA DA SILVA JUNIOR";"RUA CORONEL ANTONIO FRANCISCO";"CENTRO";-21,4;-44,6
"2778408";22;220680;"PS DR JOSE DO REGO LAGES";"AV FAROL DA VIRGEM";"CENTRO";-3,98283;-42,62118
"0191256";31;313010;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA BORBA GATO";"VALE DO AMANHECER";-20,06763;-44,31656
"2793911";15;150160;"USF CLODOALDO BASILIO I";"AVENIDA CHARLES ASSAAD";"CENTRO";-1,36885;-47,30683
"2795000";31;313050;"PSF SANTA MARIA";"RUA ARILDO VILELA MOSCARDINI";"SANTA MARIA";-20,94288;-45,83037
"2778335";22;220390;"UBS VIANA CARVALHO";"RUA PADRE REIS";"SAMBAIBA VELHA";-6,76562;-43,01259
"3003302";35;351640;"HOSPITAL DE CUSTODIA ANDRE TEIXEIRA LIMA";"RODOVIA LUIS CHAMA";"VILA RAMOS";-23,322;-46,727
"3172929";51;510170;"ESF MARIA BENEDITA DOS SANTOS";"RUA PEDRO DE CAMPOS BORGES";"NOVA ESPERANCA";-15,07357;-57,18585
"0191477";35;350190;"POLO I COVID 19 SAO DIMAS";"RUA AFONSO GEREMIAS";"JARDIM SAO DIMAS";-22,701;-46,764
"0191507";35;350190;"POLO II COVID 19 CAMANDUCAIA";"RUA RODRIGO DE ARRUDA BOTELHO";"JARDIM CAMANDUCAIA";-22,701;-46,764
"3299759";24;240710;"E S F AS MARIAS";"RUA PROJETADA CAJAZEIRAS CPC ASSOC COMUNIT DAS MAR";"CPC ASSOC COMUNIT DA";-5,512;-35,211
"2325942";22;221130;"PS IEDA LIMA VERDE";"LUIS VELOSO";"IEDA";-6,40976;-41,73224
"0191515";35;350190;"POLO III COVID 19 CENTRAL";"AV DR CARLOS BURGOS";"CENTRO";-22,701;-46,764
"3292207";29;292740;"USF NOVA SUSSUARANA";"RUA YEDA BARRADA CARNEIRO";"NOVA SUSSUARANA";-12,93657;-38,43183
"0191892";28;280320;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AVENIDA EMIDIO MAXI NETO";"CENTRO";-10,99826;-37,30644
"5425204";15;150150;"UNIDADE DE SAUDE DA FAMILIA DE PARICATUBA";"RODOVIA AUGUSTO MEIRA FILHO";"PARICATUBA";-1,29713;-48,24697
"5517117";15;150150;"UNIDADE DE SAUDE DA FAMILIA BENFICA";"RUA HENRY OLIVEIRA";"BENFICA";-1,30902;-48,303
"0192325";42;421170;"CENTRO DE ATENDIMENTO COVID 19";"RUA CAPITAO GALDINO GUEDES";"BARRO BAIRRO VERMELH";-28,35903;-49,28802
"5710111";12;120020;"UNIDADE DE SAUDE DA FAMILIA NESTOR SOARES DE VASCONCELOS";"AV 7 DE SETEMBRO";"COHAB";-7,62882;-72,68314
"5953480";21;210480;"UBS MUNDICO NASCIMENTO PONTO DA NEGA";"POVOADO PONTO DA NEGA";"ZONA RURAL";-5,819;-46,139
"6137431";15;150150;"USF SANTOS DUMONT I II CARLOS ROBERTO MENDES DE SOUZA";"RUA PROJETADA";"SANTOS DUMONT";-1,36793;-48,23977
"6434592";31;313050;"PROGRAMA DE SAUDE DA FAMILIA RURAL";"PRACA DO ROSARIO";"ROSARIO";-20,93496;-45,8329
"6446841";26;260775;"UBS ENGENHO UBU";"AGROVILA DO PA ENGENHO UBU";"ENGENHO UBU";-7,70033;-34,92125
"0204579";13;130380;"UNIDADE BASICA DE SAUDE DR FRANKLIN";"RUA RUI BARBOSA";"MIGUEL QUIRINO";-0,11533;-67,08075
"3411451";31;310620;"CENTRO DE SAUDE COPACABANA";"RUA INGLATERRA";"COPACABANA";-19,83375;-43,98605
"7232489";12;120020;"UNIDADE DE SAUDE DA FAMILIA FRANCISCO SOUZA DOS SANTOS";"RUA SIQUEIRA CAMPOS";"CENTRO";-7,61714;-72,67417
"0193054";22;220700;"UNIDADE COVID 19 DE ATENCAO PRIMARIA A SAUDE";"AVENIDA DOUTOR ISAIAS COELHO";"OEIRAS NOVA";-7,01719;-42,12118
"7414560";22;220680;"PS SAO JACO";"RUA FRANCISCO GREGORIO";"CENTRO";-3,99054;-42,62579
"0193240";51;510550;"CENTRO DE ATENDIMENTO COVID 19";"JULIAO FRANCISCO DE BRITO";"CENTRO";-15,008;-59,951
"0196363";43;431570;"AMBULATORIO DE APOIO AO COVID 19";"RUA ANDRADE NEVES";"CENTRO";-29,98596;-52,37882
"0196622";43;431920;"CENTRO DE ATENDIMENTO PARA COVID19 SAO NICOLAU";"VEREADOR ESMELINDRO BATISTA DA SILVEIRA";"TIMBAUVA";-28,183;-55,267
"0196851";43;431337;"CENTRO DE TRIAGEM COVID 19";"RUA HELIO FRAGA DE MORAES SARMENTO";"CENTRO";-29,857;-51,274
"0197092";31;313710;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA ITUIUTABA";"CENTRO";-18,17965;-46,80582
"0197661";29;291560;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 DE ITAMA";"RUA TIRADENTES";"CENTRO";-17,04429;-39,53861
"0197904";26;261070;"CENTRO ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AV MARECHAL FLORIANO PEIXOTO";"NOBRE";-7,94202;-34,87196
"0198250";50;500440;"CENTRO DE SAUDE";"R LAUCIDIO MOREIRA DA SILVA";"CENTRO";-19,726;-51,93
"0198897";33;330475;"CT COVID 19 TRIAGEM";"AV NILTON MAYERHOFFER PESSANHA";"PONTO DE CACIMBAS";-21,4113;-41,14014
"0199400";51;510550;"CENTRO DE ATENDIMENTO COVID MAO AMIGA";"AVENIDA MARTINIANO RIBEIRO DA FONSECA";"JARDIM AEROPORTO";-15,008;-59,951
"0199524";41;410880;"AMBULATORIO SINTOMATICO RESPIRATORIO";"RUA OSVALDO CRUZ";"CENTRO";-24,09118;-54,23983
"0199699";29;293290;"CENTRO DE ATENDIMENTO AO ENFRENTAMENTO A COVID 19";"RUA BARAO DE JEQUIRICA";"CENTRO";-13,37104;-39,07431
"0199990";29;291165;"CENTRO DE ATENDIMENTO PARA COVID 19 GUAJERU";"RUA NAOMAR ALCANTARA";"CENTRO";-14,5472;-41,938
"0200395";41;411605;"UNIDADE SENTINELA";"RUA NOSSA SENHORA DA LUZ";"CENTRO";-25,09035;-54,24752
"0200786";35;353150;"UNIDADE GRIPAL DIA";"PRACA NEWTON PRADO";"CENTRO";-20,90959;-48,63921
"0204722";29;291030;"CENTRO DE COMBATE AO COVID 19 DE ELISIO MEDRADO";"RUA NOSSA SRA DE FATIMA";"CENTRO";-12,946;-39,522
"0205001";43;431690;"CENTRO DE REFERENCIA MUNICIPAL DO COVID 19 CORONAVIRUS";"RUA CONRADO HOFFMANN";"NOSSA SENHORA DE LOU";-29,69435;-53,80052
"0205117";31;317100;"CENTRO MUNICIPAL PARA ENFRENTAMENTO A COVID19";"RUA PEREIRA GUIMARAES";"CENTRO";-17,98641;-46,90694
"0205591";29;291720;"CENTRO DE ATENDIMENTO SINDROMES RESPIRATORIA COVID19 ITUACU";"PRACA BARAO DO SINCORA";"N SRA DO ALIVIO";-13,81446;-41,29553
"0207306";53;530010;"UBS 21 CDP II SAO SEBASTIAO";"RODOVIA 465 KM";"SAO SEBASTIAO";-15,91554;-47,78617
"0207594";43;432110;"AMBULATORIO DE ATENDIMENTO COVID 19";"RUA EDMUNDO DREHER";"CENTRO";-30,67295;-51,39808
"0207659";42;421105;"CENTRO ATENDIMENTO COVID 19";"SC 452 KM 15";"CENTRO";-27,223;-50,98
"0207748";15;150660;"CENTRO DE ATENDIMENTO A COVID 19 DE SANTA MARIA DO PARA";"AVENIDA SANTA MARIA";"CENTRO";-1,34834;-47,57049
"0208108";41;412820;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO DA COVID 19";"RUA PRUDENTE DE MORAIS";"CENTRO";-26,23453;-51,08701
"0209171";22;221070;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA JOSE CARVALHO";"CENTRO";-7,599;-40,81813
"0210951";41;411620;"CENTRO DE REFERENCIA EM COVID 19";"RUA GENERAL CARNEIRO";"CENTRO";-25,47803;-48,82996
"0211249";42;421120;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"RUA VINTE DE MAIO";"CENTRO";-28,64972;-49,19989
"0212121";29;293040;"CENTRO DE ATENDIMENTO AO COVID 19 TIPOI";"AV AGRIPINO MACEDO";"BRAVO";-12,16;-39,332
"0212261";23;230810;"CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19";"AV DR FERNANDES TELES CARTAXO";"BELA VISTA";-7,389;-38,774
"0212288";23;230810;"CENTRO COMUNITARIO DE REFERENCIA PARA ENFRENTAMENTO A COVID";"RUA JOSE BERNARDO";"PALESTINA";-7,389;-38,774
"2448890";32;320470;"UNIDADE DE SAUDE DE SAO GABRIEL DA PALHA";"AV DOUTOR FERNANDO SERRA";"CENTRO";-19,01492;-40,5381
